fold,epoch,valid_loss,valid_recon_loss, valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
0,0,264891.89006696426,-256236.60762117346,0.08655283320695162,360034.76391103317,-269214.08068930695,8.343539772743714, 2.29329491853714
0,1,259032.18211894133,-254702.90385841837,0.04329278172773062,263597.97991071426,-256667.23325892858,0.06930746403871244, 1.7859427491823832
0,2,259101.2989875638,-254243.37073501275,0.04857928874636335,263349.4160554847,-255885.75520833334,0.07463661083305369, 1.7884190917015075
0,3,256135.0580357143,-254125.38508450254,0.020096735572632477,259226.92195471938,-255626.3384486607,0.036005837676514475, 1.7923597017923991
0,4,258413.52646683675,-253998.99127072704,0.04414534345459269,260517.41180378402,-255495.8674798044,0.0502154487201019, 1.8152097105979919
0,5,255885.1881377551,-253941.6796476403,0.019435075857695574,258242.7192017432,-255408.28943452382,0.028344303272113357, 1.8304901162783305
0,6,256834.963408801,-253834.1146763393,0.030008488795625007,258710.99428677722,-255330.39571375426,0.033805989603302916, 1.8011428594589234
0,7,255499.06716358417,-253770.2635124362,0.017288042821598296,257154.05893920068,-255236.31841252127,0.01917740785149338, 1.8040797551472982
fold,epoch,valid_loss,valid_recon_loss, valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
0,0,264891.89006696426,-256236.60762117346,0.08655283320695162,360034.76391103317,-269214.08068930695,8.343539772743714, 1.8328401446342468
0,1,259032.18211894133,-254702.90385841837,0.04329278172773062,263597.97991071426,-256667.23325892858,0.06930746403871244, 1.7773346741994223
0,2,259101.2989875638,-254243.37073501275,0.04857928874636335,263349.4160554847,-255885.75520833334,0.07463661083305369, 1.8025977691014607
0,3,256135.0580357143,-254125.38508450254,0.020096735572632477,259226.92195471938,-255626.3384486607,0.036005837676514475, 1.815466078122457
0,4,258413.52646683675,-253998.99127072704,0.04414534345459269,260517.41180378402,-255495.8674798044,0.0502154487201019, 1.7643071214358013
0,5,255885.1881377551,-253941.6796476403,0.019435075857695574,258242.7192017432,-255408.28943452382,0.028344303272113357, 1.7964756608009338
0,6,256834.963408801,-253834.1146763393,0.030008488795625007,258710.99428677722,-255330.39571375426,0.033805989603302916, 1.786687926451365
0,7,255499.06716358417,-253770.2635124362,0.017288042821598296,257154.05893920068,-255236.31841252127,0.01917740785149338, 1.7721444884936015
0,8,255717.8458625638,-253677.90118781888,0.020399447877378185,257667.967926233,-255168.3056308461,0.024996618678489207, 1.7820172349611918
0,9,254918.327606824,-253628.4916294643,0.012898360219266151,256763.85138977467,-255091.60998618198,0.016722415292755935, 1.8364720026652017
1,0,269462.3866390306,-261979.46974649234,0.0748291633291436,368090.65048363095,-270866.9027423469,8.521389610623485, 1.8397267182668051
1,1,264371.24246651784,-260453.66023596938,0.03917581964360208,268676.35913584183,-262383.64613892435,0.0629271325325834, 1.824379309018453
1,2,264491.831114477,-257458.0631377551,0.07033767375847971,267099.9131988733,-260531.9772799745,0.0656793523297905, 1.8176651318868002
1,3,258563.96795280612,-256486.97114158163,0.020769973475562066,262573.5529203869,-258174.71516262754,0.04398837745930923, 1.8018335620562236
1,4,259433.17928890305,-255300.320830676,0.04132858159647761,262539.3247502126,-257227.87626222364,0.05311448394232208, 1.8052163283030191
1,5,256206.72811702805,-254459.890106824,0.017468384830566237,259035.2888366284,-256086.64750744047,0.029486410033122516, 1.8065944194793702
1,6,257561.83693399234,-254358.04201211734,0.03203794728413376,259036.75268388606,-255858.07739423894,0.03178674950688875, 1.8100209752718608
