fold,epoch,val_loss,val_auc,tr_auc, time
fold,epoch,val_loss,val_auc,tr_auc, time
fold,epoch,val_loss,val_auc,tr_auc, time
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.5324604511260986,1.0,0.11111111111111112,0.916359539826711
0,1,0.5429540872573853,1.0,0.11111111111111112,0.34001425504684446
0,2,0.5798330903053284,1.0,1.0,0.2906460444132487
0,3,0.6289074420928955,1.0,1.0,0.28551536401112876
fold,epoch,val_loss,val_auc,tr_auc, time
fold,epoch,val_loss,val_auc,tr_auc, time
0,0,0.5367152690887451,1.0,0.11111111111111112,0.27617232004801434
0,1,0.549202024936676,1.0,0.888888888888889,0.2772093931833903
0,2,0.5859444737434387,1.0,1.0,0.2531975309054057
0,3,0.6330750584602356,1.0,1.0,0.3044017910957336
